ID,SeedSource,Rep,SiteSown,Date,SeedCount,Notes
99,Hester,9,SharkFlats,03-12-2026,0,
100,Hester,10,SharkFlats,03-12-2026,0,
101,SharkFlats,1,SharkFlats,03-12-2026,18,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
102,SharkFlats,2,SharkFlats,03-12-2026,5,(possibly Jaumea or Frankenia)
103,SharkFlats,3,SharkFlats,03-12-2026,17,(possibly Jaumea or Frankenia)
104,SharkFlats,4,SharkFlats,03-12-2026,9,(possibly Jaumea or Frankenia)
105,SharkFlats,5,SharkFlats,03-12-2026,6,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
106,SharkFlats,6,SharkFlats,03-12-2026,2,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
107,SharkFlats,7,SharkFlats,03-12-2026,8,largely on the perimeter or sidewall of the seeding hole (possibly Frankenia or Jaumea)
108,SharkFlats,8,SharkFlats,03-12-2026,2,(possibly Jaumea or Frankenia)
109,SharkFlats,9,SharkFlats,03-12-2026,0,
110,SharkFlats,10,SharkFlats,03-12-2026,0,
111,Control,1,SharkFlats,03-12-2026,0,
112,Control,2,SharkFlats,03-12-2026,0,
113,Control,3,SharkFlats,03-12-2026,0,
114,Control,4,SharkFlats,03-12-2026,4,Multiple sp. likely a grass (D. Spicata???) and maybe F. salina or J. cornosa
115,Control,5,SharkFlats,03-12-2026,0,
116,Control,6,SharkFlats,03-12-2026,5,(possibly Jaumea or Frankenia)
117,Control,7,SharkFlats,03-12-2026,0,
118,Control,8,SharkFlats,03-12-2026,0,
119,Control,9,SharkFlats,03-12-2026,3,Atriplex sp. ??
120,Control,10,SharkFlats,03-12-2026,,
