Soak Time,Soak Temp,Salinity Soak,Soil Type,5.7,5.8,5.9,5.1,5.11,5.12,5.13,5.14,5.15,5.16,5.17,5.18,5.19,5.2,5.21
7 days,12 C,30ppt,Potting Soil,0,0,2,12,18,18,18,18,18,15,15,15,16,18,21
3hr,20 C,Freshwater,Potting Soil,0,0,13,19,27,27,27,28,28,28,28,28,28,28,28
3hr,20 C,Freshwater,Potting Soil,0,0,10,16,22,24,27,27,27,27,27,27,27,28,28
3hr,20 C,Freshwater,Potting Soil,0,0,12,21,25,27,22,24,26,26,26,26,26,25,25
3hr,20 C,Freshwater,Potting Soil,0,0,13,17,20,23,23,18,20,22,22,20,20,20,22
3hr,20 C,Freshwater,Potting Soil,0,0,5,13,19,20,21,22,22,22,22,22,22,22,22
3hr,20 C,Freshwater,Potting Soil,0,0,5,13,21,22,25,25,23,23,24,25,25,25,25
3hr,20 C,15ppt,Potting Soil,0,0,13,20,23,28,28,28,28,28,26,26,22,22,23
3hr,20 C,15ppt,Potting Soil,0,0,9,20,24,30,30,30,30,30,30,30,30,30,30
3hr,20 C,15ppt,Potting Soil,0,0,4,14,23,23,26,26,28,28,22,23,19,19,19
3hr,20 C,15ppt,Potting Soil,0,0,8,21,29,29,29,29,29,29,27,27,23,23,23
3hr,20 C,15ppt,Potting Soil,0,0,9,18,24,29,32,32,32,32,29,29,29,29,29
3hr,20 C,15ppt,Potting Soil,0,0,10,16,21,25,19,19,20,21,21,21,21,21,22
3hr,20 C,30ppt,Potting Soil,0,0,3,4,10,12,15,15,16,16,16,16,16,16,16
3hr,20 C,30ppt,Potting Soil,0,0,2,8,14,21,30,30,31,31,31,31,31,31,31
3hr,20 C,30ppt,Potting Soil,0,0,6,11,18,21,21,21,22,22,22,22,21,21,22
3hr,20 C,30ppt,Potting Soil,0,0,0,5,13,17,18,18,18,19,19,19,19,19,20
3hr,20 C,30ppt,Potting Soil,0,0,7,12,24,26,28,28,29,29,29,30,30,30,34
3hr,20 C,30ppt,Potting Soil,0,0,2,7,16,18,23,23,23,24,26,27,23,23,26
1 day,20 C,Freshwater,Potting Soil,0,0,16,18,25,25,25,7,1,0,0,0,0,0,0
1 day,20 C,Freshwater,Potting Soil,0,0,14,17,9,0,0,0,0,0,0,0,0,0,0
1 day,20 C,Freshwater,Potting Soil,0,0,9,18,14,16,7,0,0,0,0,0,0,0,0
1 day,20 C,Freshwater,Potting Soil,0,0,15,21,24,27,28,28,30,31,27,30,26,25,25
1 day,20 C,Freshwater,Potting Soil,0,0,14,22,21,21,12,8,10,12,11,9,2,0,0
1 day,20 C,Freshwater,Potting Soil,0,0,11,20,24,26,28,28,28,28,30,30,27,27,29
1 day,20 C,15ppt,Potting Soil,0,0,19,24,37,37,18,1,0,0,0,0,0,0,0
1 day,20 C,15ppt,Potting Soil,0,0,20,21,11,1,0,0,0,0,0,0,0,0,0
1 day,20 C,15ppt,Potting Soil,0,0,18,21,24,27,9,1,0,0,0,0,0,0,0
1 day,20 C,15ppt,Potting Soil,0,0,15,18,23,24,26,27,29,30,30,30,30,30,30
1 day,20 C,15ppt,Potting Soil,0,0,8,19,23,25,23,19,22,22,15,12,7,7,5
1 day,20 C,15ppt,Potting Soil,0,0,11,20,28,29,29,30,31,31,28,29,29,29,29
1 day,20 C,30ppt,Potting Soil,0,0,8,18,24,20,1,0,0,0,0,0,0,0,0
1 day,20 C,30ppt,Potting Soil,0,0,7,17,17,5,1,0,0,0,0,0,0,0,0
1 day,20 C,30ppt,Potting Soil,0,0,9,22,20,20,11,3,0,0,0,0,0,0,0
1 day,20 C,30ppt,Potting Soil,0,0,8,11,18,21,25,26,26,26,26,28,28,28,28
1 day,20 C,30ppt,Potting Soil,0,0,8,16,22,23,21,19,20,20,15,15,13,13,5
1 day,20 C,30ppt,Potting Soil,0,0,5,10,19,20,24,24,24,25,23,23,23,23,26
7 days,20 C,Freshwater,Potting Soil,0,0,9,11,15,15,16,16,17,14,14,15,15,15,18
7 days,20 C,Freshwater,Potting Soil,0,0,11,16,26,26,26,22,23,23,20,21,21,21,20
7 days,20 C,Freshwater,Potting Soil,0,0,11,15,19,19,21,21,23,23,23,23,23,21,21
7 days,20 C,Freshwater,Potting Soil,0,0,8,16,19,19,21,17,19,20,21,22,22,22,22
7 days,20 C,Freshwater,Potting Soil,0,0,11,17,20,22,20,15,18,17,17,18,18,18,16
7 days,20 C,Freshwater,Potting Soil,0,0,13,14,18,21,21,15,15,15,13,11,11,14,15
7 days,20 C,15ppt,Potting Soil,0,0,12,16,24,24,25,25,25,25,25,25,25,25,26
7 days,20 C,15ppt,Potting Soil,0,0,11,16,19,20,16,18,19,20,19,19,19,19,17
7 days,20 C,15ppt,Potting Soil,0,0,13,16,24,24,24,24,24,24,24,24,18,18,21
7 days,20 C,15ppt,Potting Soil,0,0,19,21,23,29,29,29,29,30,25,28,28,28,31
7 days,20 C,15ppt,Potting Soil,0,0,16,20,20,26,22,24,20,23,23,25,25,25,25
7 days,20 C,15ppt,Potting Soil,0,0,8,15,17,17,17,17,18,20,20,18,18,18,21
7 days,20 C,30ppt,Potting Soil,0,0,1,3,4,8,12,12,12,11,11,13,12,12,12
7 days,20 C,30ppt,Potting Soil,0,0,3,9,11,14,17,18,21,21,21,22,20,20,20
7 days,20 C,30ppt,Potting Soil,0,0,7,8,11,13,18,18,18,18,18,18,18,18,21
7 days,20 C,30ppt,Potting Soil,0,0,6,6,15,17,17,17,17,17,17,18,18,18,18
7 days,20 C,30ppt,Potting Soil,0,0,3,5,7,14,14,14,14,10,16,12,12,12,14
7 days,20 C,30ppt,Potting Soil,0,0,4,5,11,17,15,15,15,15,16,16,16,16,16
Control,Control,Control,Potting Soil,0,0,0,0,2,8,8,8,8,8,11,11,11,8,4
Control,Control,Control,Potting Soil,0,0,0,0,4,11,11,7,7,7,10,10,10,6,3
Control,Control,Control,Potting Soil,0,0,0,1,5,8,8,6,0,1,7,11,11,5,3
Control,Control,Control,Potting Soil,0,0,0,0,2,12,12,8,8,8,8,8,9,7,5
Control,Control,Control,Potting Soil,0,0,0,1,1,9,18,11,14,16,21,21,21,21,21
Control,Control,Control,Potting Soil,0,0,0,0,1,11,11,11,11,13,14,14,14,14,16
3hr,12 C,Freshwater,Hester Mimic,0,0,2,4,4,6,0,0,0,0,0,0,0,0,0
3hr,12 C,Freshwater,Hester Mimic,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0
3hr,12 C,Freshwater,Hester Mimic,0,0,0,4,10,10,5,2,0,0,0,0,0,0,0
3hr,12 C,Freshwater,Hester Mimic,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
3hr,12 C,Freshwater,Hester Mimic,0,0,3,3,7,7,1,1,1,2,2,2,2,1,1
3hr,12 C,Freshwater,Hester Mimic,0,0,2,3,2,2,2,1,0,0,0,4,4,4,3
3hr,12 C,15ppt,Hester Mimic,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
3hr,12 C,15ppt,Hester Mimic,0,0,0,3,6,6,3,0,0,0,0,0,0,0,0
3hr,12 C,15ppt,Hester Mimic,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3hr,12 C,15ppt,Hester Mimic,0,0,0,2,6,6,2,2,2,2,2,2,2,2,2
3hr,12 C,15ppt,Hester Mimic,0,0,1,3,7,7,2,0,0,0,0,3,3,3,2
3hr,12 C,15ppt,Hester Mimic,0,0,1,1,2,3,1,0,0,1,1,0,0,0,0
3hr,12 C,30ppt,Hester Mimic,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0
3hr,12 C,30ppt,Hester Mimic,0,0,0,2,4,4,1,0,0,0,0,0,0,0,0
3hr,12 C,30ppt,Hester Mimic,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
3hr,12 C,30ppt,Hester Mimic,0,0,0,1,5,7,2,0,0,0,0,0,0,0,0
3hr,12 C,30ppt,Hester Mimic,0,0,0,1,3,3,3,0,0,0,0,3,3,3,3
3hr,12 C,30ppt,Hester Mimic,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0
