ID Number,Tray #,Soak Time,Soak Temp,Salinity Soak,Soil Type,1,2,3,4,4.5,4.55,5,5.5,5.55,6,6.5,6.55,7,7.5,7.55,8,8.5,8.55,9,9.5,9.55,10,10.5,10.55,11,11.5,11.55,12,12.5,12.55,13,13.5,13.55,14,14.5,14.55,15,15.5,15.55
26,H,1 day,12 C,15ppt,Potting Soil,0,0,13,14,1,1,24,10,10,24,0,0,28,4,4,28,0,0,28,0,0,29,1,1,29,0,0,29,0,0,30,1,1,30,0,0,31,1,1
27,I,1 day,12 C,15ppt,Potting Soil,0,0,8,22,14,14,30,8,8,32,2,2,32,0,0,32,0,0,33,1,1,29,-4,0,30,1,1,33,3,3,33,0,0,33,0,0,33,0,0
28,J,1 day,12 C,15ppt,Potting Soil,0,0,7,10,3,3,19,9,9,19,0,0,24,5,5,21,-3,0,22,1,1,22,0,0,27,5,5,27,0,0,26,-1,0,26,0,0,26,0,0
29,K,1 day,12 C,15ppt,Potting Soil,0,0,13,18,5,5,24,6,6,35,11,11,38,3,3,39,1,1,39,0,0,39,0,0,40,1,1,40,0,0,40,0,0,40,0,0,40,0,0
30,L,1 day,12 C,15ppt,Potting Soil,0,0,12,17,5,5,23,6,6,24,1,1,25,1,1,27,2,2,27,0,0,21,-6,0,22,1,1,24,2,2,24,0,0,25,1,1,25,0,0
31,G,1 day,12 C,30ppt,Potting Soil,0,0,6,12,6,6,25,13,13,30,5,5,31,1,1,31,0,0,32,1,1,32,0,0,32,0,0,32,0,0,32,0,0,32,0,0,32,0,0
32,H,1 day,12 C,30ppt,Potting Soil,0,0,8,19,11,11,24,5,5,27,3,3,27,0,0,27,0,0,27,0,0,27,0,0,28,1,1,28,0,0,29,1,1,30,1,1,30,0,0
33,I,1 day,12 C,30ppt,Potting Soil,0,0,5,17,12,12,21,4,4,30,9,9,31,1,1,31,0,0,31,0,0,32,1,1,28,-4,0,28,0,0,28,0,0,29,1,1,29,0,0
34,J,1 day,12 C,30ppt,Potting Soil,0,0,8,14,6,6,21,7,7,24,3,3,24,0,0,24,0,0,24,0,0,25,1,1,26,1,1,26,0,0,26,0,0,26,0,0,26,0,0
35,K,1 day,12 C,30ppt,Potting Soil,0,0,3,7,4,4,11,4,4,14,3,3,16,2,2,17,1,1,21,4,4,21,0,0,21,0,0,21,0,0,21,0,0,19,-2,0,19,0,0
36,L,1 day,12 C,30ppt,Potting Soil,0,0,9,16,7,7,24,8,8,28,4,4,28,0,0,29,1,1,29,0,0,30,1,1,30,0,0,30,0,0,30,0,0,30,0,0,31,1,1
37,M,7 days,12 C,Freshwater,Potting Soil,0,0,15,19,4,4,23,4,4,23,0,0,23,0,0,22,-1,0,22,0,0,21,-1,0,16,-5,0,16,0,0,15,-1,0,15,0,0,15,0,0
38,N,7 days,12 C,Freshwater,Potting Soil,0,0,12,17,5,5,16,-1,0,19,3,3,19,0,0,20,1,1,20,0,0,20,0,0,20,0,0,22,2,2,22,0,0,22,0,0,22,0,0
39,O,7 days,12 C,Freshwater,Potting Soil,0,0,14,22,8,8,21,-1,0,22,1,1,23,1,1,23,0,0,24,1,1,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0
40,P,7 days,12 C,Freshwater,Potting Soil,0,0,18,22,4,4,29,7,7,29,0,0,29,0,0,24,-5,0,24,0,0,26,2,2,25,-1,0,25,0,0,21,-4,0,21,0,0,21,0,0
41,Q,7 days,12 C,Freshwater,Potting Soil,0,0,14,22,8,8,29,7,7,29,0,0,29,0,0,32,3,3,32,0,0,32,0,0,30,-2,0,30,0,0,30,0,0,31,1,1,31,0,0
42,R,7 days,12 C,Freshwater,Potting Soil,0,0,23,26,3,3,27,1,1,27,0,0,28,1,1,29,1,1,29,0,0,29,0,0,29,0,0,29,0,0,29,0,0,29,0,0,29,0,0
43,M,7 days,12 C,15ppt,Potting Soil,0,0,13,27,14,14,30,3,3,30,0,0,30,0,0,28,-2,0,28,0,0,26,-2,0,29,3,3,29,0,0,29,0,0,29,0,0,29,0,0
44,N,7 days,12 C,15ppt,Potting Soil,0,0,17,24,7,7,25,1,1,25,0,0,25,0,0,25,0,0,25,0,0,22,-3,0,22,0,0,24,2,2,24,0,0,24,0,0,24,0,0
45,O,7 days,12 C,15ppt,Potting Soil,0,0,28,32,4,4,37,5,5,40,3,3,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,37,-3,0
46,P,7 days,12 C,15ppt,Potting Soil,0,0,13,21,8,8,24,3,3,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,20,-4,0,20,0,0,20,0,0
47,Q,7 days,12 C,15ppt,Potting Soil,0,0,19,24,5,5,26,2,2,27,1,1,30,3,3,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
48,R,7 days,12 C,15ppt,Potting Soil,0,0,15,15,0,0,22,7,7,22,0,0,25,3,3,25,0,0,25,0,0,25,0,0,21,-4,0,21,0,0,21,0,0,21,0,0,21,0,0
49,M,7 days,12 C,30ppt,Potting Soil,0,0,7,16,9,9,21,5,5,23,2,2,23,0,0,23,0,0,23,0,0,20,-3,0,22,2,2,22,0,0,22,0,0,23,1,1,23,0,0
50,N,7 days,12 C,30ppt,Potting Soil,0,0,3,10,7,7,17,7,7,20,3,3,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,21,1,1,18,-3,0,18,0,0,20,2,2
51,O,7 days,12 C,30ppt,Potting Soil,0,0,9,16,7,7,19,3,3,21,2,2,21,0,0,21,0,0,21,0,0,21,0,0,19,-2,0,18,-1,0,18,0,0,18,0,0,19,1,1
52,P,7 days,12 C,30ppt,Potting Soil,0,0,3,17,14,14,21,4,4,21,0,0,14,-7,0,19,5,5,19,0,0,21,2,2,21,0,0,21,0,0,21,0,0,17,-4,0,17,0,0
53,Q,7 days,12 C,30ppt,Potting Soil,0,0,7,16,9,9,25,9,9,28,3,3,28,0,0,29,1,1,30,1,1,30,0,0,30,0,0,30,0,0,29,-1,0,29,0,0,29,0,0
54,R,7 days,12 C,30ppt,Potting Soil,0,0,2,12,10,10,18,6,6,18,0,0,18,0,0,18,0,0,18,0,0,15,-3,0,15,0,0,15,0,0,16,1,1,18,2,2,21,3,3
55,S,3hr,20 C,Freshwater,Potting Soil,0,0,13,19,6,6,27,8,8,27,0,0,27,0,0,28,1,1,28,0,0,28,0,0,28,0,0,28,0,0,28,0,0,28,0,0,28,0,0
56,T,3hr,20 C,Freshwater,Potting Soil,0,0,10,16,6,6,22,6,6,24,2,2,27,3,3,27,0,0,27,0,0,27,0,0,27,0,0,27,0,0,27,0,0,28,1,1,28,0,0
57,U,3hr,20 C,Freshwater,Potting Soil,0,0,12,21,9,9,25,4,4,27,2,2,22,-5,0,24,2,2,26,2,2,26,0,0,26,0,0,26,0,0,26,0,0,25,-1,0,25,0,0
58,V,3hr,20 C,Freshwater,Potting Soil,0,0,13,17,4,4,20,3,3,23,3,3,23,0,0,18,-5,0,20,2,2,22,2,2,22,0,0,20,-2,0,20,0,0,20,0,0,22,2,2
59,W,3hr,20 C,Freshwater,Potting Soil,0,0,5,13,8,8,19,6,6,20,1,1,21,1,1,22,1,1,22,0,0,22,0,0,22,0,0,22,0,0,22,0,0,22,0,0,22,0,0
60,X,3hr,20 C,Freshwater,Potting Soil,0,0,5,13,8,8,21,8,8,22,1,1,25,3,3,25,0,0,23,-2,0,23,0,0,24,1,1,25,1,1,25,0,0,25,0,0,25,0,0
61,S,3hr,20 C,15ppt,Potting Soil,0,0,13,20,7,7,23,3,3,28,5,5,28,0,0,28,0,0,28,0,0,28,0,0,26,-2,0,26,0,0,22,-4,0,22,0,0,23,1,1
62,T,3hr,20 C,15ppt,Potting Soil,0,0,9,20,11,11,24,4,4,30,6,6,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
63,U,3hr,20 C,15ppt,Potting Soil,0,0,4,14,10,10,23,9,9,23,0,0,26,3,3,26,0,0,28,2,2,28,0,0,22,-6,0,23,1,1,19,-4,0,19,0,0,19,0,0
64,V,3hr,20 C,15ppt,Potting Soil,0,0,8,21,13,13,29,8,8,29,0,0,29,0,0,29,0,0,29,0,0,29,0,0,27,-2,0,27,0,0,23,-4,0,23,0,0,23,0,0
65,W,3hr,20 C,15ppt,Potting Soil,0,0,9,18,9,9,24,6,6,29,5,5,32,3,3,32,0,0,32,0,0,32,0,0,29,-3,0,29,0,0,29,0,0,29,0,0,29,0,0
66,X,3hr,20 C,15ppt,Potting Soil,0,0,10,16,6,6,21,5,5,25,4,4,19,-6,0,19,0,0,20,1,1,21,1,1,21,0,0,21,0,0,21,0,0,21,0,0,22,1,1
67,S,3hr,20 C,30ppt,Potting Soil,0,0,3,4,1,1,10,6,6,12,2,2,15,3,3,15,0,0,16,1,1,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0
68,T,3hr,20 C,30ppt,Potting Soil,0,0,2,8,6,6,14,6,6,21,7,7,30,9,9,30,0,0,31,1,1,31,0,0,31,0,0,31,0,0,31,0,0,31,0,0,31,0,0
69,U,3hr,20 C,30ppt,Potting Soil,0,0,6,11,5,5,18,7,7,21,3,3,21,0,0,21,0,0,22,1,1,22,0,0,22,0,0,22,0,0,21,-1,0,21,0,0,22,1,1
70,V,3hr,20 C,30ppt,Potting Soil,0,0,0,5,5,5,13,8,8,17,4,4,18,1,1,18,0,0,18,0,0,19,1,1,19,0,0,19,0,0,19,0,0,19,0,0,20,1,1
71,W,3hr,20 C,30ppt,Potting Soil,0,0,7,12,5,5,24,12,12,26,2,2,28,2,2,28,0,0,29,1,1,29,0,0,29,0,0,30,1,1,30,0,0,30,0,0,34,4,4
72,X,3hr,20 C,30ppt,Potting Soil,0,0,2,7,5,5,16,9,9,18,2,2,23,5,5,23,0,0,23,0,0,24,1,1,26,2,2,27,1,1,23,-4,0,23,0,0,26,3,3
73,Y,1 day,20 C,Freshwater,Potting Soil,0,0,16,18,2,2,25,7,7,25,0,0,25,0,0,7,-18,0,1,-6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Z,1 day,20 C,Freshwater,Potting Soil,0,0,14,17,3,3,9,-8,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,AA,1 day,20 C,Freshwater,Potting Soil,0,0,9,18,9,9,14,-4,0,16,2,2,7,-9,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,BB,1 day,20 C,Freshwater,Potting Soil,0,0,15,21,6,6,24,3,3,27,3,3,28,1,1,28,0,0,30,2,2,31,1,1,27,-4,0,30,3,3,26,-4,0,25,-1,0,25,0,0
77,CC,1 day,20 C,Freshwater,Potting Soil,0,0,14,22,8,8,21,-1,0,21,0,0,12,-9,0,8,-4,0,10,2,2,12,2,2,11,-1,0,9,-2,0,2,-7,0,0,-2,0,0,0,0
78,DD,1 day,20 C,Freshwater,Potting Soil,0,0,11,20,9,9,24,4,4,26,2,2,28,2,2,28,0,0,28,0,0,28,0,0,30,2,2,30,0,0,27,-3,0,27,0,0,29,2,2
79,Y,1 day,20 C,15ppt,Potting Soil,0,0,19,24,5,5,37,13,13,37,0,0,18,-19,0,1,-17,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Z,1 day,20 C,15ppt,Potting Soil,0,0,20,21,1,1,11,-10,0,1,-10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,AA,1 day,20 C,15ppt,Potting Soil,0,0,18,21,3,3,24,3,3,27,3,3,9,-18,0,1,-8,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,BB,1 day,20 C,15ppt,Potting Soil,0,0,15,18,3,3,23,5,5,24,1,1,26,2,2,27,1,1,29,2,2,30,1,1,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
83,CC,1 day,20 C,15ppt,Potting Soil,0,0,8,19,11,11,23,4,4,25,2,2,23,-2,0,19,-4,0,22,3,3,22,0,0,15,-7,0,12,-3,0,7,-5,0,7,0,0,5,-2,0
84,DD,1 day,20 C,15ppt,Potting Soil,0,0,11,20,9,9,28,8,8,29,1,1,29,0,0,30,1,1,31,1,1,31,0,0,28,-3,0,29,1,1,29,0,0,29,0,0,29,0,0
85,Y,1 day,20 C,30ppt,Potting Soil,0,0,8,18,10,10,24,6,6,20,-4,0,1,-19,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Z,1 day,20 C,30ppt,Potting Soil,0,0,7,17,10,10,17,0,0,5,-12,0,1,-4,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,AA,1 day,20 C,30ppt,Potting Soil,0,0,9,22,13,13,20,-2,0,20,0,0,11,-9,0,3,-8,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,BB,1 day,20 C,30ppt,Potting Soil,0,0,8,11,3,3,18,7,7,21,3,3,25,4,4,26,1,1,26,0,0,26,0,0,26,0,0,28,2,2,28,0,0,28,0,0,28,0,0
89,CC,1 day,20 C,30ppt,Potting Soil,0,0,8,16,8,8,22,6,6,23,1,1,21,-2,0,19,-2,0,20,1,1,20,0,0,15,-5,0,15,0,0,13,-2,0,13,0,0,5,-8,0
90,DD,1 day,20 C,30ppt,Potting Soil,0,0,5,10,5,5,19,9,9,20,1,1,24,4,4,24,0,0,24,0,0,25,1,1,23,-2,0,23,0,0,23,0,0,23,0,0,26,3,3
91,EE,7 days,20 C,Freshwater,Potting Soil,0,0,9,11,2,2,15,4,4,15,0,0,16,1,1,16,0,0,17,1,1,14,-3,0,14,0,0,15,1,1,15,0,0,15,0,0,18,3,3
92,FF,7 days,20 C,Freshwater,Potting Soil,0,0,11,16,5,5,26,10,10,26,0,0,26,0,0,22,-4,0,23,1,1,23,0,0,20,-3,0,21,1,1,21,0,0,21,0,0,20,-1,0
93,GG,7 days,20 C,Freshwater,Potting Soil,0,0,11,15,4,4,19,4,4,19,0,0,21,2,2,21,0,0,23,2,2,23,0,0,23,0,0,23,0,0,23,0,0,21,-2,0,21,0,0
94,HH,7 days,20 C,Freshwater,Potting Soil,0,0,8,16,8,8,19,3,3,19,0,0,21,2,2,17,-4,0,19,2,2,20,1,1,21,1,1,22,1,1,22,0,0,22,0,0,22,0,0
95,II,7 days,20 C,Freshwater,Potting Soil,0,0,11,17,6,6,20,3,3,22,2,2,20,-2,0,15,-5,0,18,3,3,17,-1,0,17,0,0,18,1,1,18,0,0,18,0,0,16,-2,0
96,JJ,7 days,20 C,Freshwater,Potting Soil,0,0,13,14,1,1,18,4,4,21,3,3,21,0,0,15,-6,0,15,0,0,15,0,0,13,-2,0,11,-2,0,11,0,0,14,3,3,15,1,1
97,EE,7 days,20 C,15ppt,Potting Soil,0,0,12,16,4,4,24,8,8,24,0,0,25,1,1,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,25,0,0,26,1,1
98,FF,7 days,20 C,15ppt,Potting Soil,0,0,11,16,5,5,19,3,3,20,1,1,16,-4,0,18,2,2,19,1,1,20,1,1,19,-1,0,19,0,0,19,0,0,19,0,0,17,-2,0
99,GG,7 days,20 C,15ppt,Potting Soil,0,0,13,16,3,3,24,8,8,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,24,0,0,18,-6,0,18,0,0,21,3,3
100,HH,7 days,20 C,15ppt,Potting Soil,0,0,19,21,2,2,23,2,2,29,6,6,29,0,0,29,0,0,29,0,0,30,1,1,25,-5,0,28,3,3,28,0,0,28,0,0,31,3,3
101,II,7 days,20 C,15ppt,Potting Soil,0,0,16,20,4,4,20,0,0,26,6,6,22,-4,0,24,2,2,20,-4,0,23,3,3,23,0,0,25,2,2,25,0,0,25,0,0,25,0,0
102,JJ,7 days,20 C,15ppt,Potting Soil,0,0,8,15,7,7,17,2,2,17,0,0,17,0,0,17,0,0,18,1,1,20,2,2,20,0,0,18,-2,0,18,0,0,18,0,0,21,3,3
103,EE,7 days,20 C,30ppt,Potting Soil,0,0,1,3,2,2,4,1,1,8,4,4,12,4,4,12,0,0,12,0,0,11,-1,0,11,0,0,13,2,2,12,-1,0,12,0,0,12,0,0
104,FF,7 days,20 C,30ppt,Potting Soil,0,0,3,9,6,6,11,2,2,14,3,3,17,3,3,18,1,1,21,3,3,21,0,0,21,0,0,22,1,1,20,-2,0,20,0,0,20,0,0
105,GG,7 days,20 C,30ppt,Potting Soil,0,0,7,8,1,1,11,3,3,13,2,2,18,5,5,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,18,0,0,21,3,3
106,HH,7 days,20 C,30ppt,Potting Soil,0,0,6,6,0,0,15,9,9,17,2,2,17,0,0,17,0,0,17,0,0,17,0,0,17,0,0,18,1,1,18,0,0,18,0,0,18,0,0
107,II,7 days,20 C,30ppt,Potting Soil,0,0,3,5,2,2,7,2,2,14,7,7,14,0,0,14,0,0,14,0,0,10,-4,0,16,6,6,12,-4,0,12,0,0,12,0,0,14,2,2
108,JJ,7 days,20 C,30ppt,Potting Soil,0,0,4,5,1,1,11,6,6,17,6,6,15,-2,0,15,0,0,15,0,0,15,0,0,16,1,1,16,0,0,16,0,0,16,0,0,16,0,0
109,KK,Control,NA,NA,Potting Soil,0,0,0,0,0,0,2,2,2,8,6,6,8,0,0,8,0,0,8,0,0,8,0,0,11,3,3,11,0,0,11,0,0,8,-3,0,4,-4,0
110,KK,Control,NA,NA,Potting Soil,0,0,0,0,0,0,4,4,4,11,7,7,11,0,0,7,-4,0,7,0,0,7,0,0,10,3,3,10,0,0,10,0,0,6,-4,0,3,-3,0
111,KK,Control,NA,NA,Potting Soil,0,0,0,1,1,1,5,4,4,8,3,3,8,0,0,6,-2,0,0,-6,0,1,1,1,7,6,6,11,4,4,11,0,0,5,-6,0,3,-2,0
112,LL,Control,NA,NA,Potting Soil,0,0,0,0,0,0,2,2,2,12,10,10,12,0,0,8,-4,0,8,0,0,8,0,0,8,0,0,8,0,0,9,1,1,7,-2,0,5,-2,0
113,LL,Control,NA,NA,Potting Soil,0,0,0,1,1,1,1,0,0,9,8,8,18,9,9,11,-7,0,14,3,3,16,2,2,21,5,5,21,0,0,21,0,0,21,0,0,21,0,0
114,LL,Control,NA,NA,Potting Soil,0,0,0,0,0,0,1,1,1,11,10,10,11,0,0,11,0,0,11,0,0,13,2,2,14,1,1,14,0,0,14,0,0,14,0,0,16,2,2
115,MM,3hr,12 C,Freshwater,Hester Mimic,0,0,2,4,2,2,4,0,0,6,2,2,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,NN,3hr,12 C,Freshwater,Hester Mimic,0,0,0,4,4,4,5,1,1,5,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,OO,3hr,12 C,Freshwater,Hester Mimic,0,0,0,4,4,4,10,6,6,10,0,0,5,-5,0,2,-3,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,PP,3hr,12 C,Freshwater,Hester Mimic,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,QQ,3hr,12 C,Freshwater,Hester Mimic,0,0,3,3,0,0,7,4,4,7,0,0,1,-6,0,1,0,0,1,0,0,2,1,1,2,0,0,2,0,0,2,0,0,1,-1,0,1,0,0
